gene_identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-value adjusted
MSTRG.19590	55.9301	2.8757	0.4004	80.1981	2.7831E-17	2.5748E-16
MSTRG.5207	252.2552	2.8447	0.3273	79.0531	4.8992E-17	4.4582E-16
MSTRG.469	75.2242	-3.2394	0.3953	77.3576	1.1316E-16	1.0095E-15
MSTRG.7481	56.6389	3.1825	0.5145	77.3278	1.1484E-16	1.0240E-15
MSTRG.27346	522.9131	-0.4733	0.2397	75.0832	3.4776E-16	2.9897E-15
MSTRG.24275	59.1797	-2.6599	0.3376	73.6548	7.0369E-16	5.9138E-15
MSTRG.18	17.5968	4.6697	0.7453	71.8067	1.7511E-15	1.4334E-14
MSTRG.23293	398.0421	1.4155	0.2080	70.5257	3.2937E-15	2.6429E-14
MSTRG.125	10.9557	-0.1055	1.7919	69.4224	5.6747E-15	4.4506E-14
MSTRG.2909	351.7237	-6.4645	1.5398	65.6737	3.5995E-14	2.6553E-13
MSTRG.25481	26.9404	5.5200	0.9379	63.5110	1.0442E-13	7.3762E-13
MSTRG.3435	2236.2305	0.7626	0.1544	62.8115	1.4736E-13	1.0249E-12
MSTRG.24	24.6712	0.4891	0.5855	62.7622	1.5098E-13	1.0479E-12
MSTRG.24078	7.1894	-2.9544	1.5817	61.8441	2.3724E-13	1.6157E-12
MSTRG.7683	7.2613	-7.3015	1.4281	60.9172	3.7435E-13	2.5082E-12
MSTRG.19964	106.5744	-1.9131	0.3529	60.7788	4.0072E-13	2.6812E-12
MSTRG.66	22.6431	5.1762	0.9232	59.7251	6.7295E-13	4.3994E-12
MSTRG.75	103.9747	1.7730	0.2408	59.3859	7.9512E-13	5.1671E-12
MSTRG.20533	6.7047	6.1233	1.4374	58.7660	1.0785E-12	6.9151E-12
MSTRG.21468	264.2586	1.6702	0.2549	58.6019	1.1692E-12	7.4663E-12
MSTRG.22765	1275.4599	1.0572	0.1516	57.3420	2.1723E-12	1.3519E-11
MSTRG.5502	231.2115	-0.9756	0.1891	57.0089	2.5587E-12	1.5829E-11
MSTRG.18133	28.4591	3.3023	0.6466	55.7690	4.7059E-12	2.8408E-11
MSTRG.4832	28.8902	4.0383	0.6187	55.7107	4.8427E-12	2.9197E-11
MSTRG.10020	227.5799	1.3206	0.2432	55.4843	5.4125E-12	3.2478E-11
MSTRG.5277	19.5293	5.8741	1.2665	53.7324	1.2796E-11	7.4343E-11
MSTRG.25797	255.7735	0.5749	0.2106	53.6631	1.3239E-11	7.6845E-11
MSTRG.26977	575.4796	0.2412	0.1602	51.9839	3.0188E-11	1.7031E-10
MSTRG.23322	798.0632	0.9401	0.1453	51.1351	4.5785E-11	2.5476E-10
MSTRG.7407	117.8187	1.5409	0.3544	49.9435	8.2137E-11	4.4697E-10
MSTRG.24476	132.9461	-1.9720	0.2889	49.5962	9.7386E-11	5.2619E-10
MSTRG.8213	114.8012	1.5805	0.2876	49.5959	9.7398E-11	5.2619E-10
MSTRG.19146	47.2866	0.5426	0.4155	49.5522	9.9510E-11	5.3675E-10
MSTRG.23453	149.1734	-0.1295	0.2457	48.7289	1.4899E-10	7.9029E-10
MSTRG.3326	2220.6667	0.1990	0.0822	47.4278	2.8185E-10	1.4483E-09
MSTRG.19747	284.6206	0.4384	0.2583	47.3914	2.8692E-10	1.4733E-09
MSTRG.22379	73.7229	1.5523	0.2749	47.0537	3.3853E-10	1.7249E-09
MSTRG.26512	64.8952	-2.2358	0.3922	46.6114	4.2043E-10	2.1225E-09
MSTRG.26686	55.7414	-2.4742	0.3883	45.7501	6.4095E-10	3.1762E-09
MSTRG.18353	273.6518	1.2276	0.2004	45.3140	7.9348E-10	3.8934E-09
MSTRG.2	27.8247	-3.5824	0.8609	44.8883	9.7725E-10	4.7514E-09
MSTRG.12403	272.6733	0.4039	0.1896	44.8246	1.0082E-09	4.8959E-09
MSTRG.25143	16.7867	-2.6511	0.5640	44.6817	1.0812E-09	5.2283E-09
MSTRG.26186	68.2742	-1.0595	0.4287	44.4077	1.2363E-09	5.9387E-09
MSTRG.23505	128.4951	0.4153	0.2045	44.1705	1.3884E-09	6.6283E-09
MSTRG.19926	71.9508	-1.4174	0.3548	42.3522	3.3778E-09	1.5498E-08
MSTRG.25642	64.8854	1.2353	0.3429	42.2542	3.5435E-09	1.6203E-08
MSTRG.4834	792.1020	0.3349	0.1716	42.0852	3.8486E-09	1.7554E-08
MSTRG.1887	357.6391	-0.5616	0.1621	41.9734	4.0646E-09	1.8469E-08
MSTRG.1945	65.8754	-0.7048	0.4129	41.7818	4.4636E-09	2.0202E-08
MSTRG.13595	221.8953	-1.2057	0.1894	41.0460	6.3938E-09	2.8512E-08
MSTRG.27985	717.1504	-0.3906	0.1224	39.9372	1.0987E-08	4.7689E-08
MSTRG.26769	167.9325	0.0866	0.2219	39.6958	1.2360E-08	5.3361E-08
MSTRG.298	349.1198	-1.6358	0.3065	38.9713	1.7601E-08	7.4807E-08
MSTRG.14191	51.9509	0.4575	0.4123	37.6844	3.2965E-08	1.3689E-07
MSTRG.256	215.5930	1.5239	0.3212	37.2497	4.0743E-08	1.6747E-07
MSTRG.1083	152.1632	0.2540	0.2345	36.8366	4.9827E-08	2.0262E-07
MSTRG.19842	12522.6136	-0.1310	0.1238	36.1432	6.9841E-08	2.7955E-07
MSTRG.23298	46.6879	-0.2994	0.3608	35.9622	7.6276E-08	3.0379E-07
MSTRG.21170	242.7264	0.9310	0.1572	35.1213	1.1484E-07	4.4778E-07
MSTRG.28	34.8831	-0.6072	0.4426	35.0266	1.2026E-07	4.6815E-07
