Gene identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-adjusted
MSTRG.14210	2’588.4753	-0.7600	0.1369	59.3882	7.9424E-13	5.1628E-12
MSTRG.75	103.9747	1.7730	0.2408	59.3859	7.9512E-13	5.1671E-12
MSTRG.15116	9’918.0931	0.2327	0.0750	59.3616	8.0467E-13	5.2277E-12
MSTRG.12215	10’141.2791	0.6993	0.1203	59.3546	8.0746E-13	5.2445E-12
MSTRG.12953	23’595.9288	1.2369	0.1676	59.3507	8.0901E-13	5.2531E-12
MSTRG.22249	16’487.7211	-0.5190	0.0844	59.3277	8.1823E-13	5.3115E-12
MSTRG.1786	7’207.3956	-0.7507	0.1340	59.3156	8.2308E-13	5.3416E-12
MSTRG.19248	2’129.5404	-0.5652	0.1508	59.3071	8.2655E-13	5.3626E-12
MSTRG.26569	1’921.3106	-0.6814	0.1463	59.3019	8.2867E-13	5.3749E-12
MSTRG.10955	49.3478	2.2256	0.3672	59.3005	8.2922E-13	5.3771E-12
ENSG00000237206.1	15.7849	3.1509	0.5964	59.2827	8.3651E-13	5.4228E-12
ENSG00000118777.12	7.9780	7.2904	1.4051	59.2772	8.3878E-13	5.4361E-12
MSTRG.16862	14’455.5833	0.0568	0.0860	59.2511	8.4962E-13	5.5049E-12
ENSG00000227634.3	9.9903	-4.4859	0.9532	59.2494	8.5033E-13	5.5079E-12
MSTRG.6015	6’613.1249	-0.2466	0.0794	59.2484	8.5077E-13	5.5093E-12
MSTRG.4358	3’890.5289	-0.4036	0.1511	59.2365	8.5573E-13	5.5399E-12
MSTRG.23359	561.8637	0.9025	0.1216	59.2288	8.5899E-13	5.5595E-12
MSTRG.27131	8’166.9270	-0.3181	0.1344	59.2183	8.6343E-13	5.5867E-12
MSTRG.17030	62.5173	1.6023	0.3444	59.2153	8.6474E-13	5.5937E-12
MSTRG.10246	6’219.5252	0.0530	0.0983	59.2071	8.6821E-13	5.6146E-12
MSTRG.2637	4’278.6170	0.3080	0.1182	59.1983	8.7199E-13	5.6376E-12
MSTRG.765	12’168.9357	-0.2764	0.0945	59.1813	8.7929E-13	5.6833E-12
MSTRG.4467	2’724.2874	-0.2586	0.1143	59.1397	8.9747E-13	5.7992E-12
MSTRG.24087	11’697.0568	0.3279	0.1796	59.1341	8.9997E-13	5.8138E-12
MSTRG.25606	670.6513	0.4545	0.1224	59.1295	9.0199E-13	5.8252E-12
MSTRG.6938	949.8919	-0.4810	0.1364	59.1174	9.0735E-13	5.8583E-12
MSTRG.26853	3’055.3182	0.0157	0.0916	59.1070	9.1203E-13	5.8869E-12
MSTRG.14219	13.7270	-3.6992	1.3340	59.0948	9.1750E-13	5.9206E-12
MSTRG.10597	11’561.5661	0.0069	0.1155	59.0673	9.3003E-13	5.9999E-12
